variable,long_name,component,experiment,frequency,vertical_levels,spatial_domain,units,start_time,end_time,path
TEMP,potential temperature,ocn,HIST,monthly,60.0,global_ocean,degC,1850-01-16 12:00:00,1919-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-HIST-TEMP.zarr
UES,salt flux in grid-x direction,ocn,HIST,monthly,60.0,global_ocean,gram/kilogram/s,1850-01-16 12:00:00,1919-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-HIST-UES.zarr
UET,flux of heat in grid-x direction,ocn,HIST,monthly,60.0,global_ocean,degC/s,1850-01-16 12:00:00,1919-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-HIST-UET.zarr
UVEL,velocity in grid-x direction,ocn,HIST,monthly,60.0,global_ocean,centimeter/s,1850-01-16 12:00:00,1919-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-HIST-UVEL.zarr
VNS,salt flux in grid-y direction,ocn,HIST,monthly,60.0,global_ocean,gram/kilogram/s,1850-01-16 12:00:00,1919-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-HIST-VNS.zarr
VNT,flux of heat in grid-y direction,ocn,HIST,monthly,60.0,global_ocean,degC/s,1850-01-16 12:00:00,1919-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-HIST-VNT.zarr
VVEL,velocity in grid-y direction,ocn,HIST,monthly,60.0,global_ocean,centimeter/s,1850-01-16 12:00:00,1919-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-HIST-VVEL.zarr
WTS,salt flux across top face,ocn,HIST,monthly,60.0,global_ocean,gram/kilogram/s,1850-01-16 12:00:00,1919-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-HIST-WTS.zarr
WTT,heat flux across top face,ocn,HIST,monthly,60.0,global_ocean,degC/s,1850-01-16 12:00:00,1919-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-HIST-WTT.zarr
WVEL,vertical velocity,ocn,HIST,monthly,60.0,global_ocean,centimeter/s,1850-01-16 12:00:00,1919-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-HIST-WVEL.zarr
DIC,dissolved inorganic carbon,ocn,RCP85,monthly,60.0,global_ocean,mmol/m^3,2006-01-16 12:00:00,2100-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-RCP85-DIC.zarr
DOC,dissolved organic carbon,ocn,RCP85,monthly,60.0,global_ocean,mmol/m^3,2006-01-16 12:00:00,2100-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-RCP85-DOC.zarr
FW,freshwater flux,ocn,RCP85,monthly,1.0,global_ocean,centimeter/s,2006-01-16 12:00:00,2100-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-RCP85-FW.zarr
HMXL,mixed-layer depth,ocn,RCP85,monthly,1.0,global_ocean,centimeter,2006-01-16 12:00:00,2100-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-RCP85-HMXL.zarr
O2,dissolved oxygen,ocn,RCP85,monthly,60.0,global_ocean,mmol/m^3,2006-01-16 12:00:00,2100-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-RCP85-O2.zarr
PD,potential density ref to surface,ocn,RCP85,monthly,60.0,global_ocean,gram/centimeter^3,2006-01-16 12:00:00,2100-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-RCP85-PD.zarr
QFLUX,internal ocean heat flux due to ice formation; heat of fusion > 0 or ice-melting potential < 0,ocn,RCP85,monthly,1.0,global_ocean,Watts/meter^2,2006-01-16 12:00:00,2100-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-RCP85-QFLUX.zarr
QSW_HBL,solar short-wave heat flux in bndry layer,ocn,RCP85,monthly,1.0,global_ocean,watt/m^2,2006-01-16 12:00:00,2100-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-RCP85-QSW_HBL.zarr
QSW_HTP,solar short-wave heat flux in top layer,ocn,RCP85,monthly,1.0,global_ocean,watt/m^2,2006-01-16 12:00:00,2100-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-RCP85-QSW_HTP.zarr
RESID_S,free-surface residual flux (s),ocn,RCP85,monthly,1.0,global_ocean,kg/m^2/s,2006-01-16 12:00:00,2100-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-RCP85-RESID_S.zarr
SALT,salinity,ocn,RCP85,monthly,60.0,global_ocean,gram/kilogram,2006-01-16 12:00:00,2100-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-RCP85-SALT.zarr
SFWF,virtual salt flux in fw flux formulation,ocn,RCP85,monthly,1.0,global_ocean,kg/m^2/s,2006-01-16 12:00:00,2100-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-RCP85-SFWF.zarr
SFWF_WRST,virtual salt flux due to weak restoring,ocn,RCP85,monthly,1.0,global_ocean,kg/m^2/s,2006-01-16 12:00:00,2100-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-RCP85-SFWF_WRST.zarr
SHF,"total surface heat flux, including sw",ocn,RCP85,monthly,1.0,global_ocean,watt/m^2,2006-01-16 12:00:00,2100-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-RCP85-SHF.zarr
SHF_QSW,solar short-wave heat flux,ocn,RCP85,monthly,1.0,global_ocean,watt/m^2,2006-01-16 12:00:00,2100-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-RCP85-SHF_QSW.zarr
SSH,sea surface height,ocn,RCP85,monthly,1.0,global_ocean,centimeter,2006-01-16 12:00:00,2100-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-RCP85-SSH.zarr
SST,potential temperature,ocn,RCP85,monthly,1.0,global_ocean,degC,2006-01-16 12:00:00,2100-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-RCP85-SST.zarr
TAUX,windstress in grid-x direction,ocn,RCP85,monthly,1.0,global_ocean,dyne/centimeter^2,2006-01-16 12:00:00,2100-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-RCP85-TAUX.zarr
TAUX2,windstress**2 in grid-x direction,ocn,RCP85,monthly,1.0,global_ocean,dyne^2/centimeter^4,2006-01-16 12:00:00,2100-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-RCP85-TAUX2.zarr
TAUY,windstress in grid-y direction,ocn,RCP85,monthly,1.0,global_ocean,dyne/centimeter^2,2006-01-16 12:00:00,2100-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-RCP85-TAUY.zarr
TAUY2,windstress**2 in grid-y direction,ocn,RCP85,monthly,1.0,global_ocean,dyne^2/centimeter^4,2006-01-16 12:00:00,2100-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-RCP85-TAUY2.zarr
TEMP,potential temperature,ocn,RCP85,monthly,60.0,global_ocean,degC,2006-01-16 12:00:00,2100-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-RCP85-TEMP.zarr
UES,salt flux in grid-x direction,ocn,RCP85,monthly,60.0,global_ocean,gram/kilogram/s,2006-01-16 12:00:00,2100-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-RCP85-UES.zarr
UET,flux of heat in grid-x direction,ocn,RCP85,monthly,60.0,global_ocean,degC/s,2006-01-16 12:00:00,2100-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-RCP85-UET.zarr
UVEL,velocity in grid-x direction,ocn,RCP85,monthly,60.0,global_ocean,centimeter/s,2006-01-16 12:00:00,2100-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-RCP85-UVEL.zarr
VNS,salt flux in grid-y direction,ocn,RCP85,monthly,60.0,global_ocean,gram/kilogram/s,2006-01-16 12:00:00,2100-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-RCP85-VNS.zarr
VNT,flux of heat in grid-y direction,ocn,RCP85,monthly,60.0,global_ocean,degC/s,2006-01-16 12:00:00,2100-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-RCP85-VNT.zarr
VVEL,velocity in grid-y direction,ocn,RCP85,monthly,60.0,global_ocean,centimeter/s,2006-01-16 12:00:00,2100-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-RCP85-VVEL.zarr
WTS,salt flux across top face,ocn,RCP85,monthly,60.0,global_ocean,gram/kilogram/s,2006-01-16 12:00:00,2100-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-RCP85-WTS.zarr
WTT,heat flux across top face,ocn,RCP85,monthly,60.0,global_ocean,degC/s,2006-01-16 12:00:00,2100-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-RCP85-WTT.zarr
WVEL,vertical velocity,ocn,RCP85,monthly,60.0,global_ocean,centimeter/s,2006-01-16 12:00:00,2100-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-RCP85-WVEL.zarr
,,ocn,CTRL,static,,global_ocean,,,,s3://ncar-cesm-lens/ocn/static/grid.zarr
,,ocn,HIST,static,,global_ocean,,,,s3://ncar-cesm-lens/ocn/static/grid.zarr
,,ocn,RCP85,static,,global_ocean,,,,s3://ncar-cesm-lens/ocn/static/grid.zarr
,,ocn,20C,static,,global_ocean,,,,s3://ncar-cesm-lens/ocn/static/grid.zarr
